"School ID","School Name","Type","Authority","Gender","Regional Council","TA with Auckland Local Board","From","To","Number of changes"
39,"Rosmini College","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
40,"Rutherford College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
41,"Macleans College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
42,"Green Bay High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
43,"Massey High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
44,"Waitakere College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
45,"Henderson High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
46,"Liston College","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
47,"St Dominic's Catholic College (Henderson)","Secondary (Year 7-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
48,"Western Springs College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2000,2017,1
49,"Selwyn College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Orakei",2000,2017,1
50,"St Mary's College (Ponsonby)","Secondary (Year 7-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Waitemata",2000,2017,1
51,"St Paul's College (Ponsonby)","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Waitemata",2000,2017,1
52,"Tyndale Park Christian School","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
53,"Auckland Girls' Grammar School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Auckland Region","Auckland- Waitemata",2000,2017,1
54,"Auckland Grammar","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Auckland Region","Auckland- Albert-Eden",2000,2017,1
55,"Auckland Metropolitan College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2001,1
56,"Queen Victoria School","Secondary (Year 9-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Waitemata",2000,2001,1
57,"Tamaki College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2017,1
58,"Tangaroa College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
59,"Sacred Heart College (Auckland)","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Orakei",2000,2017,1
60,"Saint Kentigern Girls' School","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Girls","Auckland Region","Auckland- Orakei",2000,2010,2
60,"Saint Kentigern Girls' School","Full Primary","Private: Fully Reg.","Single Sex-Girls","Auckland Region","Auckland- Orakei",2011,2017,2
61,"Baradene College","Secondary (Year 7-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Orakei",2000,2017,1
62,"St Peter's College (Epsom)","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Waitemata",2000,2017,1
63,"Marcellin College","Secondary (Year 7-15)","State: Integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
